AS,Attractor,Basin size,De,Interactions,C. + largo
1149,10101010100110100001111001,40960,44722297,767,5
1150,01101010100101000100110101,40960,27939125,383,6
1151,11101010100110100001111001,40960,61499513,767,5
1152,00000110100100100000110000,40960,1722416,2687,3
1153,10000110100100100000110000,40960,35276848,2687,3
1154,01000110100100100000110000,40960,18499632,2687,3
1155,11000110100100100000110000,40960,52054064,2687,3
1156,00100110100100100000110001,40960,10111025,2687,3
1157,10100110100100100000110001,40960,43665457,2687,3
1158,01100110100100100000110001,40960,26888241,2687,3
1159,11100110100100100000110001,40960,60442673,2687,3
1160,00001110100110100001111000,40960,3827832,767,5
1161,10001110100110100001111000,40960,37382264,767,5
1162,01001110100110100001111000,40960,20605048,767,5
1163,11001110100110100001111000,40960,54159480,767,5
1164,00101110100110100001111001,40960,12216441,767,5
1165,10101110100110100001111001,40960,45770873,767,5
1166,01101110100110100001111001,40960,28993657,767,5
1167,11101110100110100001111001,40960,62548089,767,5
1168,00000000000001000000010000,6048,4112,111,4
1169,01000000000001000100110110,16512,16781622,95,4
1170,00100000000001000000010001,6048,8392721,111,4
1171,01100000000001000100110111,16512,25170231,95,4
1172,00000010000001000000010000,6048,528400,111,4
1173,01000010000001000100110110,16512,17305910,95,4
1174,00100010000001000000010001,6048,8917009,111,4
1175,01100010000001000100110111,16512,25694519,95,4
1176,00000001000001000000010000,6048,266256,111,4
1177,01000001000001000100110110,16512,17043766,95,4
1178,00100001000001000000010001,6048,8654865,111,4
1179,01100001000001000100110111,16512,25432375,95,4
1180,00000011000001000000010000,6048,790544,111,4
1181,01000011000001000100110110,16512,17568054,95,4
1182,00100011000001000000010001,6048,9179153,111,4
1183,01100011000001000100110111,16512,25956663,95,4
1184,00000000100001000000010000,6048,135184,111,4
1185,01000000100001000100110110,16512,16912694,95,4
1186,00100000100001000000010001,6048,8523793,111,4
1187,01100000100001000100110111,16512,25301303,95,4
1188,00000010100001000000010000,6048,659472,111,4
1189,01000010100001000100110110,16512,17436982,95,4
1190,00100010100001000000010001,6048,9048081,111,4
1191,01100010100001000100110111,16512,25825591,95,4
1192,01001000000000000100100110,5472,18874662,127,3
1193,01101000000000000100100111,5472,27263271,127,3
1194,01001010000000000100100110,5472,19398950,127,3
1195,01101010000000000100100111,5472,27787559,127,3
1196,01001001000000000100100110,5472,19136806,127,3
1197,01101001000000000100100111,5472,27525415,127,3
1198,01001011000000000100100110,5472,19661094,127,3
1199,01101011000000000100100111,5472,28049703,127,3
1200,01001000100000000100100110,5472,19005734,127,3
1201,01101000100000000100100111,5472,27394343,127,3
1202,01001010100000000100100110,5472,19530022,127,3
1203,01101010100000000100100111,5472,27918631,127,3
1204,00000000000000000100100110,4896,294,127,3
1205,10000000000001000100110110,15360,33558838,127,4
1206,00100000000000000100100111,4896,8388903,127,3
1207,10100000000001000100110111,15360,41947447,127,4
1208,00010000001101000100110100,40960,4247860,383,4
1209,10010000001101000100110100,40960,37802292,383,4
1210,00110000001101000100110101,40960,12636469,383,4
1211,10110000001101000100110101,40960,46190901,383,4
1212,00001000000000000100100110,3600,2097446,127,3
1213,10001000000001000100110110,15360,35655990,127,6
1214,00101000000000000100100111,3600,10486055,127,3
1215,10101000000001000100110111,15360,44044599,127,6
1216,00011000001101000100110100,40960,6345012,383,6
1217,10011000001101000100110100,40960,39899444,383,6
1218,00111000001101000100110101,40960,14733621,383,6
1219,10111000001101000100110101,40960,48288053,383,6
1220,00000100000101000100110100,40960,1069364,383,4
1221,10000100000101000100110100,40960,34623796,383,4
1222,00100100000101000100110101,40960,9457973,383,4
1223,10100100000101000100110101,40960,43012405,383,4
1224,00010100001101000100110100,40960,5296436,383,4
1225,10010100001101000100110100,40960,38850868,383,4
1226,00110100001101000100110101,40960,13685045,383,4
1227,10110100001101000100110101,40960,47239477,383,4
1228,00001100000101000100110100,40960,3166516,383,6
1229,10001100000101000100110100,40960,36720948,383,6
1230,00101100000101000100110101,40960,11555125,383,6
1231,10101100000101000100110101,40960,45109557,383,6
1232,00011100001101000100110100,40960,7393588,383,6
1233,10011100001101000100110100,40960,40948020,383,6
1234,00111100001101000100110101,40960,15782197,383,6
1235,10111100001101000100110101,40960,49336629,383,6
1236,00000010000000000100100110,4896,524582,127,3
1237,00100010000000000100100111,4896,8913191,127,3
1238,00010010001101000100110100,40960,4772148,383,4
1239,00110010001101000100110101,40960,13160757,383,4
1240,00001010000000000100100110,3600,2621734,127,3
1241,00101010000000000100100111,3600,11010343,127,3
1242,00011010001101000100110100,40960,6869300,383,6
1243,00111010001101000100110101,40960,15257909,383,6
1244,00000001000000000100100110,4896,262438,127,3
1245,10000001000001000100110110,15360,33820982,127,4
1246,00100001000000000100100111,4896,8651047,127,3
1247,10100001000001000100110111,15360,42209591,127,4
1248,00010001001101000100110100,40960,4510004,383,4
1249,10010001001101000100110100,40960,38064436,383,4
1250,00110001001101000100110101,40960,12898613,383,4
1251,10110001001101000100110101,40960,46453045,383,4
1252,00001001000000000100100110,3600,2359590,127,3
1253,10001001000001000100110110,15360,35918134,127,6
1254,00101001000000000100100111,3600,10748199,127,3
1255,10101001000001000100110111,15360,44306743,127,6
1256,00011001001101000100110100,40960,6607156,383,6
1257,10011001001101000100110100,40960,40161588,383,6
1258,00111001001101000100110101,40960,14995765,383,6
1259,10111001001101000100110101,40960,48550197,383,6
1260,00000101000101000100110100,40960,1331508,383,4
1261,10000101000101000100110100,40960,34885940,383,4
1262,00100101000101000100110101,40960,9720117,383,4
1263,10100101000101000100110101,40960,43274549,383,4
1264,00010101001101000100110100,40960,5558580,383,4
1265,10010101001101000100110100,40960,39113012,383,4
1266,00110101001101000100110101,40960,13947189,383,4
1267,10110101001101000100110101,40960,47501621,383,4
1268,00001101000101000100110100,40960,3428660,383,6
1269,10001101000101000100110100,40960,36983092,383,6
1270,00101101000101000100110101,40960,11817269,383,6
1271,10101101000101000100110101,40960,45371701,383,6
1272,00011101001101000100110100,40960,7655732,383,6
1273,10011101001101000100110100,40960,41210164,383,6
1274,00111101001101000100110101,40960,16044341,383,6
1275,10111101001101000100110101,40960,49598773,383,6
1276,00000011000000000100100110,4896,786726,127,3
1277,00100011000000000100100111,4896,9175335,127,3
1278,00010011001101000100110100,40960,5034292,383,4
1279,00110011001101000100110101,40960,13422901,383,4
1280,00001011000000000100100110,3600,2883878,127,3
1281,00101011000000000100100111,3600,11272487,127,3
1282,00011011001101000100110100,40960,7131444,383,6
1283,00111011001101000100110101,40960,15520053,383,6
1284,00000000100000000100100110,4896,131366,127,3
1285,10000000100001000100110110,15360,33689910,127,4
1286,00100000100000000100100111,4896,8519975,127,3
1287,10100000100001000100110111,15360,42078519,127,4
1288,00010000101101000100110100,40960,4378932,383,4
1289,10010000101101000100110100,40960,37933364,383,4
1290,00110000101101000100110101,40960,12767541,383,4
1291,10110000101101000100110101,40960,46321973,383,4
1292,00001000100000000100100110,3600,2228518,127,3
1293,10001000100001000100110110,15360,35787062,127,6
1294,00101000100000000100100111,3600,10617127,127,3
1295,10101000100001000100110111,15360,44175671,127,6
1296,00011000101101000100110100,40960,6476084,383,6
1297,10011000101101000100110100,40960,40030516,383,6
1298,00111000101101000100110101,40960,14864693,383,6
1299,10111000101101000100110101,40960,48419125,383,6
1300,00000100100101000100110100,40960,1200436,383,4
1301,10000100100101000100110100,40960,34754868,383,4
1302,00100100100101000100110101,40960,9589045,383,4
1303,10100100100101000100110101,40960,43143477,383,4
1304,00010100101101000100110100,40960,5427508,383,4
1305,10010100101101000100110100,40960,38981940,383,4
1306,00110100101101000100110101,40960,13816117,383,4
1307,10110100101101000100110101,40960,47370549,383,4
1308,00001100100101000100110100,40960,3297588,383,6
1309,10001100100101000100110100,40960,36852020,383,6
1310,00101100100101000100110101,40960,11686197,383,6
1311,10101100100101000100110101,40960,45240629,383,6
1312,00011100101101000100110100,40960,7524660,383,6
1313,10011100101101000100110100,40960,41079092,383,6
1314,00111100101101000100110101,40960,15913269,383,6
1315,10111100101101000100110101,40960,49467701,383,6
1316,00000010100000000100100110,4896,655654,127,3
1317,00100010100000000100100111,4896,9044263,127,3
1318,00010010101101000100110100,40960,4903220,383,4
1319,00110010101101000100110101,40960,13291829,383,4
1320,00001010100000000100100110,3600,2752806,127,3
1321,00101010100000000100100111,3600,11141415,127,3
1322,00011010101101000100110100,40960,7000372,383,6
1323,00111010101101000100110101,40960,15388981,383,6
1324,00000000000101000100110100,25600,20788,383,4
1325,10000000000101000100110100,25600,33575220,383,4
1326,00100000000101000100110101,25600,8409397,383,4
1327,10100000000101000100110101,25600,41963829,383,4
1328,00001000000101000100110100,25600,2117940,383,6
1329,10001000000101000100110100,25600,35672372,383,6
1330,00101000000101000100110101,25600,10506549,383,6
1331,10101000000101000100110101,25600,44060981,383,6
1332,00000010000101000100110100,25600,545076,383,4
1333,00100010000101000100110101,25600,8933685,383,4
1334,00001010000101000100110100,25600,2642228,383,6
1335,00101010000101000100110101,25600,11030837,383,6
1336,00000001000101000100110100,25600,282932,383,4
1337,10000001000101000100110100,25600,33837364,383,4
1338,00100001000101000100110101,25600,8671541,383,4
1339,10100001000101000100110101,25600,42225973,383,4
1340,00001001000101000100110100,25600,2380084,383,6
1341,10001001000101000100110100,25600,35934516,383,6
1342,00101001000101000100110101,25600,10768693,383,6
1343,10101001000101000100110101,25600,44323125,383,6
1344,00000011000101000100110100,25600,807220,383,4
1345,00100011000101000100110101,25600,9195829,383,4
